iter	MultiClass
0	3.40768548
1	3.380255604
2	3.352172117
3	3.334928882
4	3.321048141
5	3.296921768
6	3.275945576
7	3.255210468
8	3.234972584
9	3.216887131
10	3.204547484
11	3.189667913
12	3.173591524
13	3.157249171
14	3.14184985
15	3.128105791
16	3.115732927
17	3.104452383
18	3.090676035
19	3.077529919
20	3.06475308
21	3.053067251
22	3.041213074
23	3.029790317
24	3.019857881
25	3.010546071
26	3.001301487
27	2.9911962
28	2.981603086
29	2.972786962
30	2.963673177
31	2.955888049
32	2.947877581
33	2.939988919
34	2.932426417
35	2.924896785
36	2.915777001
37	2.907877095
38	2.9004807
39	2.89362874
40	2.886682864
41	2.880057978
42	2.873606542
43	2.866481796
44	2.860454437
45	2.854306153
46	2.848442429
47	2.842749639
48	2.836248024
49	2.830546196
50	2.82493564
51	2.818143198
52	2.813068539
53	2.808367285
54	2.801652748
55	2.796967803
56	2.792847132
57	2.788597891
58	2.784405767
59	2.780162262
60	2.776032582
61	2.772013032
62	2.767074252
63	2.7632231
64	2.758241833
65	2.754730522
66	2.750691934
67	2.747163674
68	2.743579523
69	2.740227876
70	2.737107139
71	2.733213775
72	2.728880135
73	2.724262488
74	2.720989972
75	2.716495382
76	2.712595473
77	2.70945512
78	2.706737162
79	2.702833507
80	2.699783895
81	2.697028093
82	2.69283532
83	2.68909664
84	2.68631431
85	2.68387618
86	2.680829827
87	2.67651561
88	2.672877425
89	2.670232744
90	2.666988303
91	2.662526067
92	2.660383724
93	2.656531371
94	2.653242424
95	2.65116618
96	2.648780195
97	2.645787839
98	2.643009234
99	2.640276993
100	2.638148152
101	2.636095675
102	2.634266642
103	2.632025292
104	2.629317286
105	2.626979437
106	2.625246889
107	2.623267698
108	2.620618206
109	2.618628955
110	2.617030431
111	2.614461698
112	2.61157656
113	2.608231587
114	2.606741905
115	2.603909026
116	2.60138715
117	2.599224162
118	2.59752992
119	2.596108963
120	2.593423072
121	2.590586229
122	2.588606814
123	2.587324749
124	2.583369573
125	2.580789654
126	2.57731421
