iter	Passed	Remaining
0	477	476709
1	1227	612633
2	1792	595693
3	2891	719997
4	3511	698758
5	3629	601228
6	4039	572969
7	4229	524427
8	4356	479708
9	4717	466998
10	5419	487222
11	6141	505671
12	6346	481827
13	6570	462770
14	7257	476598
15	8201	504388
16	8800	508849
17	9353	510260
18	9484	489706
19	9801	480297
20	10297	480038
21	10525	467921
22	10744	456424
23	10986	446773
24	11929	465250
25	12775	478573
26	13354	481245
27	13451	466968
28	13646	456933
29	14291	462084
30	15065	470909
31	15717	475447
32	16385	480147
33	17111	486174
34	17510	482786
35	18368	491857
36	19220	500255
37	20118	509309
38	20222	498300
39	20469	491275
40	20661	483288
41	21507	490565
42	22288	496051
43	22935	498329
44	23355	495656
45	23528	487969
46	23571	477953
47	23664	469345
48	24390	473373
49	24835	471880
50	25154	468062
51	25854	471343
52	26409	471883
53	26770	468984
54	26994	463811
55	27088	456630
56	27787	459713
57	28517	463157
58	29421	469246
59	29602	463775
60	29657	456524
61	29704	449401
62	30470	453188
63	30700	448997
64	31064	446855
65	31335	443449
66	32188	448238
67	32314	442899
68	32696	441169
69	32801	435791
70	33424	437342
71	34430	443771
72	35335	448715
73	35558	444956
74	36339	448192
75	37115	451251
76	37719	452145
77	38371	453576
78	38630	450362
79	39330	452298
80	40120	455199
81	40433	452657
82	41206	455257
83	41810	455935
84	42622	458820
85	42783	454698
86	43600	457553
87	44325	459375
88	45005	460677
89	45688	461961
90	46750	466994
91	47654	470327
92	47866	466828
93	48637	468784
94	49535	471895
95	49672	467753
96	50439	469552
97	51227	471501
98	52340	476350
99	53026	477234
100	54002	480678
101	54883	483187
102	55430	482730
103	55815	480868
104	56476	481395
105	57099	481578
106	57748	481953
107	58301	481523
108	59059	482773
109	59903	484675
110	60021	480716
111	60233	477566
112	60989	478738
113	61848	480683
114	61912	476454
115	62379	475375
116	63242	477294
117	63826	477073
118	64477	477352
119	65060	477107
120	65617	476676
121	66356	477552
122	67040	478007
123	67339	475722
124	68055	476387
125	68614	475945
126	69314	476471
127	69433	473016
128	70204	474016
129	70350	470808
130	71093	471606
131	71786	472052
132	72716	474026
133	73447	474671
134	74279	475941
135	75156	477465
136	76201	480012
137	77369	483279
138	78391	485574
139	78577	482690
140	78813	480148
141	79514	480446
142	80067	479847
143	81072	481933
144	81619	481271
145	82294	481364
146	83397	483930
147	84161	484495
148	85050	485756
149	85572	484908
150	86509	486401
151	87300	487042
152	87877	486483
153	88037	483634
154	89080	485634
155	89911	486446
156	90638	486675
157	91697	488667
158	92164	487485
159	92938	487929
160	93729	488442
161	94615	489429
162	95431	490038
163	96268	490735
164	97256	492174
165	98058	492657
166	98874	493188
167	99368	492109
168	100220	492798
169	100674	491527
170	101586	492486
171	102427	493082
172	103041	492572
173	103568	491654
174	103911	489868
175	104316	488389
176	104644	486567
177	105086	485285
178	105269	482826
179	105486	480550
180	106006	479665
181	106409	478258
182	107162	478422
183	107729	477755
184	108305	477131
185	108623	475373
186	109256	475000
187	109724	473915
188	110410	473770
189	110557	471323
190	111132	470715
191	111731	470201
192	112081	468653
193	112479	467312
194	112941	466245
195	113682	466328
196	114345	466088
197	114931	465530
198	115340	464258
199	115751	463004
200	116048	461306
201	116384	459774
202	116876	458869
203	117422	458178
204	117947	457406
205	118492	456712
206	118979	455800
207	119659	455627
208	120275	455204
209	120419	453005
210	120803	451725
211	120928	449489
212	121141	447598
213	121637	446763
214	122096	445792
215	122725	445446
216	123116	444241
217	123732	443849
218	124091	442536
219	124507	441435
220	124952	440444
221	125475	439731
222	126035	439147
223	126315	437592
224	126895	437082
225	127307	435998
226	127904	435551
227	128056	433593
228	128654	433155
