iter	RMSE
0	5.89940639
1	5.304585984
2	4.847194969
3	4.574932969
4	4.441715007
5	4.285041739
6	4.172687512
7	4.104164177
8	4.060955277
9	4.009248769
10	3.991030441
11	3.978737471
12	3.955309921
13	3.936137421
14	3.914012616
15	3.88857199
16	3.87542391
17	3.861004227
18	3.842705879
19	3.827673628
20	3.819507508
21	3.809625279
22	3.800463801
23	3.786976201
24	3.779232348
25	3.756248538
26	3.740623288
27	3.735414773
28	3.728430647
29	3.716771817
30	3.705180683
31	3.691886002
32	3.691886002
33	3.684250701
34	3.682548347
35	3.672262751
36	3.664790602
37	3.658048997
38	3.649807043
39	3.641062967
40	3.624365205
41	3.610202941
42	3.601172041
43	3.591953047
44	3.587785203
45	3.580199047
46	3.575224311
47	3.56644434
48	3.551193454
49	3.543454222
50	3.536578922
51	3.532174344
52	3.516784934
53	3.508067054
54	3.504649199
55	3.499896312
56	3.49459362
57	3.484650876
58	3.474024937
59	3.470295722
60	3.462473845
61	3.457334214
62	3.449645151
63	3.437006532
64	3.43449523
65	3.428363228
66	3.420518831
67	3.413700813
68	3.403030227
69	3.396146271
70	3.384410804
71	3.374693855
72	3.369687117
73	3.365244361
74	3.360082246
75	3.349619692
76	3.344984865
77	3.339735948
78	3.333882045
79	3.329914314
80	3.325872123
81	3.318990125
82	3.314434661
83	3.311920191
84	3.30727095
85	3.304448372
86	3.302166677
87	3.297630053
88	3.290883902
89	3.286648497
90	3.282890503
91	3.278384196
92	3.273242763
93	3.269685572
94	3.266613638
95	3.25953324
96	3.251819621
97	3.24666936
98	3.243663805
99	3.238258029
100	3.235879438
101	3.230648847
102	3.22834371
103	3.222826122
104	3.218258087
105	3.213416088
106	3.206869248
107	3.201650653
108	3.199775869
109	3.195052042
110	3.192344455
111	3.190891062
112	3.187749221
113	3.183162424
114	3.181672691
115	3.178279574
116	3.172739512
117	3.167363373
118	3.164452808
119	3.158397211
120	3.152525313
121	3.144207905
122	3.141417902
123	3.136567551
124	3.135201576
125	3.132172304
126	3.130321472
127	3.128342695
128	3.120894474
129	3.120082828
130	3.117309794
131	3.11535266
132	3.110356984
133	3.105562295
134	3.100574454
135	3.099461524
136	3.095053956
137	3.093321109
138	3.092258114
139	3.0887353
140	3.087016203
141	3.079460888
142	3.076589621
143	3.06998093
144	3.064697165
145	3.06058434
146	3.058344831
147	3.053963219
148	3.04765096
149	3.040689603
150	3.037483295
151	3.033829327
152	3.03074885
153	3.027653661
154	3.021765347
155	3.015875175
156	3.013268877
157	3.010744003
158	3.008027328
159	3.003292002
160	2.999429375
161	2.998009367
162	2.996041474
163	2.992133901
164	2.988396355
165	2.986628558
166	2.983853732
167	2.97976736
168	2.97857291
169	2.978265216
170	2.976569553
171	2.971860315
172	2.970250409
173	2.968013404
174	2.964868439
175	2.962025209
176	2.95483493
177	2.953907754
178	2.951315192
179	2.950565323
180	2.94806393
