division_name,franchise_name,cluster,points_for,potential_points,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,h2h_wins,h2h_losses,h2h_ties,h2h_winpct,allplay_wins,allplay_losses,allplay_ties,allplay_winpct
Tickle Me Elmo,In the Aggregate - Anthony Amico (@amicsta),1,2294.92,2627.52,6.43851505260234,3.755358170428433,-3.9106152051772063,2.0173131948518157,-1.307221153064976,0.4066336502282813,1.2778739509377943,-0.43060411019986905,12,0,0,1,951,188,0,0.835
Vortex,Fan - Andy Kerr (@akerr28),4,2267.84,2474.44,2.5412811825172934,-0.68619815973455,0.13781769892940315,0.4054731144786115,-0.04814760845598568,-1.4185151043500699,-0.36483508497640665,1.5727176335522308,9,3,0,0.75,954,186,0,0.837
American Girl Dolls,RotoUnderworld - Eric Lindberg (@eriiclindberg),3,2265.14,2605.3,1.7532051312210286,1.2236289957229014,-1.7489774669655478,0.7960246540148181,1.1189227482861948,-0.6549499212308265,0.05273431886923897,0.3246788180093477,9,3,0,0.75,871,268,0,0.765
Battleship,Fan - Elliot Nolan (Ei112),4,2261.2,2611.64,0.8552964983440489,-1.3928691843891619,1.0722792255726383,-0.45166986610205284,-1.0632772881937214,-0.8505845715810669,0.08596449670671566,0.49173464000733375,11,1,0,0.917,929,210,0,0.816
Muscle Figures,Celebrity - James Roday (JamesRoday),7,2242.62,2543.06,2.4862888847880207,3.2650405424371596,1.1267851633453587,-3.060239005458012,-1.8423341593763432,-1.4253535756965725,0.3629891564224399,-1.2487312366790855,12,0,0,1,930,208,0,0.817
Lite Brite,4for4 - Andrew Fleischer (@afleischer),2,2210.74,2523.78,1.6976842775453336,-0.4757972150566746,-1.437696612706468,-1.0441870169113665,0.33607024186302187,-1.9600682096815938,0.41071872148432065,0.7767447096668152,11,1,0,0.917,885,253,0,0.778
Evel Knievel,Fanball - Jason Lee (@JLee_300),2,2208.52,2440.12,1.3220726572532835,0.1935980845738126,-2.82122403167629,1.4747597644293131,-1.1180584135157254,-0.7002718232812051,-0.5481738861103722,-1.1386600794410733,8,4,0,0.667,829,309,0,0.728
Lego,Fantasy Football Astronauts - Shane Barrett (@ffShaneB ),8,2193.82,2447.24,-2.466477278216191,-0.8883841525698402,-0.28477874570163375,0.23696051103212562,0.46476451995961493,1.5909758068234618,-1.4798051987789567,-0.1978089161786225,10,2,0,0.833,911,228,0,0.8
Pound Puppies,"Fighting Chance Fantasy, Fantasy Football Hustle Podcast - Brian Drake (@DrakeFantasy)",2,2184.86,2493.32,-0.13191472620281894,-0.15809779357098144,-2.799204138831712,1.7827824951614348,-2.3918843725735046,-0.6746563802487935,-0.6774428717763366,-0.3279292355630594,10,2,0,0.833,900,238,0,0.791
Teddy Ruxpin,4for4 - TJ Hernandez (@TJHernandez),2,2175.14,2525.78,1.4355821187939701,1.1749316868310802,-2.2472589885408274,-0.10939047330135801,-0.5830468308586828,0.9881643526038331,0.10058191114248481,0.6971637621418716,8,4,0,0.667,905,233,1,0.795
DC Figures,Fan - Mike Stencel (@munson1897),2,2175.08,2385.62,-0.10645395173658026,-0.4709275254713512,-0.5668387910352405,-0.5269637474209052,-1.6315621506524396,-0.23654264967542082,-0.6867887821924655,0.5589831317555305,7,5,0,0.583,870,268,0,0.764
Sports Balls,CBS - Ben Gretch (@YardsPerGretch),3,2168.1,2441.3,0.9348330541250464,2.586147018146963,-0.1712969620503937,0.5750560549526016,-0.3465329945815644,-2.3568524461254112,-2.260394097029751,0.6426705954598446,10,2,0,0.833,912,228,0,0.8
Jenga,YouBetterYouBet - Nick Kostos (@Thekostos),3,2168.04,2391.58,1.433740267054583,2.6698701634648265,1.1842006376889325,0.1432224757186509,0.856755982571997,-0.027956416065842316,-0.9830532650433923,1.5848173347037342,9,3,0,0.75,878,259,0,0.772
He-Man,Fan - Ben Bonish (@Benbonish),7,2163.58,2448.34,1.0245940777617846,1.6200351160691415,1.6751515752203159,0.7319340865009907,-0.7895339478501835,0.926135676028272,-0.5713001716644837,0.414888399519438,9,3,0,0.75,886,253,0,0.778
Frisbee,Footballguys - Jeff Haseley (@JeffHaseley),4,2160.12,2442.62,3.2762511349568118,-1.3409627321081778,-0.07083076093619542,-0.03764269753257288,-0.5941542400612265,-0.7299653619312984,1.7526698687873452,-0.07343855438413732,9,3,0,0.75,872,266,0,0.766
Popples,Fan - Scott Mahoney (@BellCowBack),4,2152.4,2422,0.31275688330007684,-1.7367476762263783,1.9050579081584154,0.25461568612391855,-1.81824671915014,1.9639334099993575,0.5185363936254636,0.6903953058934885,10,2,0,0.833,847,292,0,0.744
Clue,The Fantasy Football Auction.com - Shane Bliss (Mrblistr ),3,2152.2,2460.88,-0.3384113592121551,1.9352644654812206,-0.5899366069595684,2.302689809549719,-1.6616558333203586,-0.7848286487594861,-0.6374359164220615,-0.08130368044087397,11,1,0,0.917,845,294,0,0.742
Hatchimals,Celebrity - Kenneth Nixon (@fhnixon),1,2151.2,2426.04,3.4790781449737667,0.6597082754367988,-1.3899482779394137,-0.44799385339258524,-2.001707964995506,1.1343876824685446,0.12286848148043339,-0.3869556144266966,8,4,0,0.667,810,329,0,0.711
Care Bears,NFL.com - David Feldman (@Dbfeld),2,2145.7,2418.02,1.525181081217661,0.037369124501277384,0.08875268408401671,0.9011245239936982,-0.732561463759711,-1.7116376521310284,0.4212335704112846,0.7016425469794901,10,2,0,0.833,887,252,0,0.779
Tinkertoys,Fan - Earl English (@eeenglish1),2,2142.68,2411.2,0.1891818557403977,0.3222089168719159,-0.7126299168458952,-1.5996745979935423,-0.4535403980378003,-0.9934121687854445,-0.16106200131856316,0.2880912717702494,9,3,0,0.75,859,280,0,0.754
Care Bears,Draft Sharks - Kevin English (@KEnglishDS),5,2142.62,2413.16,-1.4576896488577085,-1.1427818445638547,0.15307985980231237,-0.726877922241368,-0.7332458736146572,-0.5018241274053723,-0.46868285022537237,0.21378252432341674,10,2,0,0.833,853,286,0,0.749
Smurfs,FantasyLabs - Sean Valukis (@svalukis),1,2131.78,2587.28,3.790907708116288,2.2287695306621416,-1.1032112826664306,1.0337879406057149,-0.4956474515736304,1.2132392761515058,-0.8498874373689917,0.25796773077717616,10,2,0,0.833,830,308,1,0.729
Gi Joe,DLF - Peter Lawrence (_PeteLaw),3,2125.28,2358.16,0.11909895228907838,2.0762116423018346,-0.5713135441512214,0.6823564874886644,-0.15550008754683547,-0.5241092787988035,-0.2442768399633543,0.7548084251482892,10,2,0,0.833,861,277,0,0.757
