name,draft_year,draft_pick,yards_created_per_attempt,yards_blocked_per_attempt,missed_tackles_per_attempt,yards_created_over5_rate,loaded_box_over8_rate,pass_protect_success_rate,rec_yards_per_pass_play,missed_tackles_per_rec,receiving_target_share,backfield_fp_share,yards_per_team_play,ypc_above_line_yards
Chuba Hubbard,2021,126,3.95,1.15,0.19,0.24,0.06,0.77,0.7,0.13,0.0991,0.8613,2.48,3.4
Kenneth Gainwell,2021,150,4.06,1.59,0.297,0.23,0.2,0.8,2.6,0.4,0.1815,0.7158,2.09,3.55
Travis Etienne,2021,25,4.22,1.29,0.355,0.263,0.13,0.29,2.4,0.37,0.1135,0.7296,1.9,4.2
Rhamondre Stevenson,2021,120,4.32,2.45,0.312,0.28,0.12,0.71,2,0.33,0.0723,0.298,1.12,3.64
Najee Harris,2021,24,4.47,1.8,0.33,0.304,0.3,0.33,1.6,0.583,0.1327,0.8265,2.1,2.56
Michael Carter,2021,107,5.12,2.35,0.224,0.29,0.11,0.65,2.1,0.35,0.1033,0.4104,1.79,4.72
Trey Sermon,2021,88,5.45,1.95,0.35,0.29,0.05,0.85,1.1,0.18,0.0759,0.4792,1.7,4.06
Javonte Williams,2021,21,5.61,1.88,0.474,0.329,0.21,0.92,1.8,0.364,0.1033,0.5529,1.71,4
Eno Benjamin,2020,222,3.48,1.09,0.284,0.25,0.2,0.43,1.1,0.162,0.1377,0.9105,2.12,2.6
AJ Dillon,2020,62,4.16,1.9,0.247,0.235,0.46,0.67,1.3,0.186,0.0807,0.5576,1.95,2.28
Zack Moss,2020,86,4.2,1.4,0.402,0.315,0.13,0.88,2.4,0.44,0.1202,0.7211,1.98,2.96
Cam Akers,2020,52,4.37,0.57,0.446,0.241,0.05,0.77,1.1,0.211,0.1075,0.8034,1.51,2.35
Darrynton Evans,2020,93,4.49,1.13,0.302,0.209,0.19,0.5,1,0.235,0.0909,0.7569,1.73,2.84
Clyde Edwards-Helaire,2020,32,4.5,1.58,0.423,0.26,0.06,0.71,1.3,0.203,0.1291,0.7477,1.73,3.34
D'Andre Swift,2020,35,4.73,1.85,0.391,0.337,0.23,0.9,1.1,0.13,0.1278,0.5352,1.38,2.8
Jonathan Taylor,2020,41,4.82,1.39,0.3,0.287,0.26,,2.2,0.154,0.1057,0.7575,2.34,2.99
JK Dobbins,2020,55,5.04,1.72,0.325,0.263,0.09,0.47,1.2,0.073,0.0849,0.6761,2.1,3.24
Ke'Shawn Vaughn,2020,76,5.41,1.78,0.321,0.205,0.13,0.85,1.2,0.219,0.1386,0.8455,1.74,2.72
Anthony McFarland,2020,124,5.89,1.5,0.343,0.286,0.16,0.63,0.9,0.235,0.0556,0.2854,1.52,5.02
Damien Harris,2019,87,3.92,1.62,0.205,0.288,0.14,0.62,1.2,0.186,0.0528,0.4545,1.08,3.97
Devin Singletary,2019,74,4.18,0.93,0.339,0.294,0.16,0.7,0.3,0.111,0.0812,0.6543,2.07,3.25
David Montgomery,2019,73,4.31,1.31,0.44,0.264,0.15,0.82,1.1,0.138,0.12,0.8517,1.6,1.88
Miles Sanders,2019,53,4.51,1.39,0.293,0.32,0.09,0.75,0.8,0.065,0.1143,0.6488,1.57,2.44
Josh Jacobs,2019,24,4.61,1.81,0.409,0.371,0.15,0.88,1.8,0.203,0.0611,0.5626,0.94,2.14
Bryce Love,2019,112,4.9,1.09,0.33,0.227,0.48,0.82,0.9,0.235,0.0288,0.5529,2.55,5.4
Darrell Henderson,2019,70,6.44,2.54,0.329,0.284,0.1,,2.4,0.121,0.0745,0.4104,2.14,5.89
Mark Walton,2018,112,3.89,1.47,0.164,0.26,0.18,0.73,1.3,0.405,0.1027,0.7374,1.58,2.68
Ronald Jones,2018,38,3.97,0.97,0.34,0.216,0.19,0.55,0.9,0.057,0.0453,0.7237,1.68,3
Bo Scarbrough,2018,236,4.2,1.3,0.38,0.197,0.34,-,1,0.235,0.0833,0.2029,0.75,1.25
Kerryon Johnson,2018,43,4.32,1.37,0.267,0.173,0.24,0.6,0.9,0.178,0.0941,0.645,1.55,1.74
Kalen Ballage,2018,131,4.56,1.13,0.295,0.23,0.15,0.67,0.4,0.194,0.1712,0.7706,1.12,1.54
Royce Freeman,2018,71,4.7,1.56,0.31,0.345,0.16,0.83,1.2,0.381,0.1102,0.5881,2.23,3.17
John Kelly,2018,176,4.72,0.82,0.528,0.25,0.19,0.73,1.7,0.316,0.2056,0.6264,1.47,1.44
