name,draft_year,yc_per_attempt,yb_per_attempt,mtf_per_attempt,yc_over5_rate,mib_over8_rate,pass_protection_success_rate,rec_yard_per_pass_play,draft_pick,years_since_hs,rec_share,total_yards_per_team_play,total_td_share,scout_rating,scout_versatility
Ezekiel Elliott,2016,5.98,1.34,0.38,0.324,NA,0.94,0.9,4,3,0.133004926,2.308656036,0.396551724,89,96
Derrick Henry,2016,4.02,1.14,0.3,0.24,NA,0.71,0.4,45,3,0.03654485,2.140871177,0.518518519,86.7,94
Kenneth Dixon,2016,4.14,0.59,0.37,0.207,NA,0.7,2.3,134,4,0.111864407,1.702104097,0.472727273,85.05,96
Devontae Booker,2016,4.43,1.02,0.36,0.262,NA,0.86,1.3,136,3,0.165178571,1.732967033,0.282051282,78.75,86
Alex Collins,2016,4.9,1.22,0.289,0.263,NA,0.85,0.5,171,3,0.052845528,1.902161547,0.322580645,77.2,94
C.J. Prosise,2016,4.9,1.26,0.405,0.238,NA,0.75,1.7,90,4,0.108333333,1.567409144,0.222222222,75.5,81
Deandre Washington,2016,4.28,1.05,0.402,0.241,NA,0.9,0.9,143,5,0.105398458,1.746046512,0.219178082,75.4,90
Paul Perkins,2016,4.61,0.73,0.365,0.259,NA,0.71,0.9,149,4,0.1,1.659685864,0.306122449,75.4,91
Jordan Howard,2016,4.7,1.16,0.282,0.273,NA,0.88,1,150,3,0.040892193,1.270712909,0.185185185,72.6,86
Kenyan Drake,2016,6.11,1.26,0.351,0.297,NA,0.67,2,73,4,0.096345515,0.633920297,0.037037037,62.65,72
Wendell Smallwood,2016,5.3,1.34,0.286,0.333,NA,NA,0.7,153,3,0.112068966,1.611324376,0.176470588,57.25,65
Leonard Fournette,2017,5.83,1.06,0.252,0.303,0.67,0.87,1.4,4,3,0.086206897,1.192563081,0.19047619,82.5,92
Christian Mccaffrey,2017,5.69,1.36,0.4,0.276,0.64,0.81,1.6,8,3,0.206703911,2.344362745,0.457142857,81.5,91
Joe Mixon,2017,6.75,1.21,0.57,0.407,0.06,0.75,2.9,48,3,0.136531365,1.913410771,0.205479452,80.9,99
Dalvin Cook,2017,5.53,0.66,0.495,0.318,0.42,0.83,1.4,41,3,0.135245902,2.425188375,0.357142857,78.7,91.5
Samaje Perine,2017,5.27,1.11,0.265,0.265,0.08,0.86,1.1,114,3,0.036900369,1.2312566,0.178082192,78.55,86.5
Jamaal Williams,2017,4.63,1.08,0.35,0.242,0.33,0.65,0.5,134,5,0.028571429,1.544585987,0.279069767,78.4,95
D'Onta Foreman,2017,5.82,1.39,0.323,0.3,0.17,0.73,0.5,89,3,0.029045643,2.141547862,0.3125,77.6,90
Wayne Gallman,2017,4.22,1.07,0.292,0.292,0.14,0.78,0.5,140,4,0.047393365,1.064623032,0.226666667,77.4,91
Kareem Hunt,2017,5.81,0.92,0.465,0.347,0.05,0.8,2.3,86,4,0.140893471,2.03027027,0.174603175,76.3,91
James Conner,2017,4.87,1.31,0.288,0.288,0.64,0.67,2,105,4,0.111111111,1.607843137,0.3125,73.05,92
Alvin Kamara,2017,5.82,1.41,0.345,0.362,0.16,0.83,2.8,67,4,0.168067227,1.11136108,0.220338983,72.75,80
Joe Williams,2017,5.62,1.28,0.373,0.333,0.08,0.71,0.9,121,3,0.04245283,1.580375783,0.25,72.15,86.5
Jeremy McNichols,2017,4.43,1.11,0.315,0.298,0.57,0.88,1.9,162,3,0.146245059,2.444568869,0.473684211,71.2,90
